epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,16441.2,1.05879,0.50958,0.93907,0.94019,0.95133,0.95422,0.48593,1.6665,0.62411,1.14893,0.00044296,0.00044296,0.00044296
56,16752.8,1.06213,0.50976,0.94243,0.94853,0.94943,0.96757,0.52324,1.6303,0.61676,1.13708,0.000427565,0.000427565,0.000427565
57,17093.6,1.05837,0.50433,0.94195,0.95218,0.93608,0.96605,0.49559,1.65708,0.61446,1.14644,0.000412246,0.000412246,0.000412246
58,17405.4,1.04721,0.50418,0.94023,0.94552,0.94767,0.96745,0.52261,1.63772,0.61177,1.14553,0.000397019,0.000397019,0.000397019
59,17691.5,1.04555,0.5074,0.93573,0.95194,0.94259,0.96675,0.49759,1.65628,0.62057,1.15232,0.000381899,0.000381899,0.000381899
60,17994.2,1.04359,0.49714,0.93824,0.9464,0.94533,0.96167,0.4924,1.66843,0.62347,1.15162,0.000366899,0.000366899,0.000366899
61,18276.3,1.04265,0.50146,0.93755,0.94877,0.94193,0.96683,0.49051,1.65674,0.61245,1.14646,0.000352037,0.000352037,0.000352037
62,18597.3,1.03036,0.49059,0.93404,0.9579,0.93375,0.96618,0.49836,1.65516,0.6134,1.14396,0.000337325,0.000337325,0.000337325
63,18854.2,1.02161,0.48892,0.93105,0.95798,0.94587,0.96928,0.50858,1.66799,0.61185,1.15269,0.000322778,0.000322778,0.000322778
64,19089.3,1.01971,0.48973,0.93197,0.94267,0.94511,0.96342,0.47984,1.69132,0.61976,1.16075,0.000308412,0.000308412,0.000308412
65,19383.6,1.01878,0.48906,0.9299,0.94026,0.95716,0.96603,0.50041,1.66039,0.60862,1.15191,0.000294239,0.000294239,0.000294239
66,19713.6,1.0117,0.48386,0.93179,0.94392,0.96018,0.96745,0.50391,1.6556,0.60978,1.14998,0.000280275,0.000280275,0.000280275
67,20010.9,1.00969,0.47929,0.92601,0.94349,0.95407,0.96325,0.49838,1.6498,0.60947,1.15032,0.000266532,0.000266532,0.000266532
68,20334.9,0.99388,0.47398,0.92568,0.9445,0.95623,0.96104,0.50391,1.65384,0.61212,1.14998,0.000253024,0.000253024,0.000253024
69,20629.3,0.98778,0.47133,0.9246,0.93733,0.95435,0.9602,0.48016,1.65282,0.60894,1.15081,0.000239766,0.000239766,0.000239766
70,20891.3,0.98858,0.47017,0.92563,0.94091,0.95285,0.96705,0.50662,1.65152,0.60965,1.14637,0.000226769,0.000226769,0.000226769
71,21190.5,0.98674,0.46834,0.92184,0.94457,0.94894,0.9593,0.4776,1.67405,0.61418,1.15598,0.000214046,0.000214046,0.000214046
72,21471.4,0.98355,0.4704,0.92031,0.9556,0.94176,0.96794,0.48573,1.667,0.60616,1.15865,0.000201611,0.000201611,0.000201611
73,21720.3,0.96616,0.45887,0.91959,0.94185,0.9513,0.96274,0.48487,1.65959,0.60573,1.15429,0.000189475,0.000189475,0.000189475
74,22027.7,0.97095,0.45977,0.92179,0.95063,0.9428,0.96574,0.49224,1.66106,0.606,1.15656,0.000177651,0.000177651,0.000177651
75,22301.7,0.95747,0.45587,0.91739,0.93704,0.95757,0.96812,0.50183,1.65966,0.60569,1.15721,0.000166149,0.000166149,0.000166149
76,22601.2,0.95065,0.45378,0.91406,0.94398,0.95615,0.96576,0.49806,1.65195,0.60403,1.14976,0.000154982,0.000154982,0.000154982
